,source,target,type
0,Russian Aircraft Corporation MiG,Soviet Union,operator
1,Atlantic Ocean,Phú Quốc,located on terrain feature
2,Côn Đảo,Phú Quốc,located on terrain feature
3,Phu Bai International Airport,Vietnam,country
4,Vietnamese đồng,Nguyễn dynasty,owned by
5,Hang Sơn Đoòng,Phong Nha-Kẻ Bàng National Park,location
6,South African Press Association,Lotus Cars,said to be the same as
7,Sea level,Mekong Delta,located in the administrative territorial entity
8,Côn Đảo,Phạm Văn Đồng,located in the administrative territorial entity
9,Mekong Delta,Middle East,has part
10,Tuy Phong District,Bình Thuận Province,located in the administrative territorial entity
11,Hà Giang Province,Vietnam,country
12,French colonial empire,French Algeria,follows
13,Mekong Delta,Ho Chi Minh City,contains administrative territorial entity
14,Ngọc Sơn (singer),Trần dynasty,sibling
15,Vietnam,Côn Đảo,country
16,Trang Airport,Thailand,contains administrative territorial entity
17,French Indochina,Da Lat,location
18,Da Nang,Nguyễn dynasty,country
19,Jayavarman II,Central Highlands (Vietnam),located on terrain feature
20,Vietnam,Mainland Southeast Asia,located on terrain feature
21,Côn Đảo,Côn Đảo Prison,followed by
22,Marble Mountains (Vietnam),Sơn Trà District,located on terrain feature
23,Montenegro,Nha Trang,residence
24,Vietnam,Mekong Delta,contains administrative territorial entity
25,Vietnam,Japan,has part
26,Bà Rịa,Ho Chi Minh City,located on terrain feature
27,Sơn Trà District,Ung County,located on terrain feature
28,Mekong Delta,Central Highlands (Vietnam),contains administrative territorial entity
29,Tràng An Scenic Landscape Complex,Trang Province,located in the administrative territorial entity
30,Dragon Bridge (Da Nang),Da Nang,crosses
31,Vietnam,"Temple of Literature, Hanoi",country
32,Da Lat,French Indochina,location
33,Southeast Asia,Vietnam,country
34,Nguyễn dynasty,French Indochina,country
35,Bau (island),Trang Province,said to be the same as
36,Ho Chi Minh,Ho Chi Minh Highway,crosses
37,Da Nang,Sơn Trà District,located in the administrative territorial entity
38,Ancient Greece,Vietnam,country of origin
39,Alaska,Côn Đảo,located in the administrative territorial entity
40,Hội An,Japan,language of work or name
41,Jayavarman II,Delta 4,has part
42,Vietnam,Mũi Né,country
43,Mount Fuji,Theres,part of
44,Thích Quảng Đức,Buddhism,religion
45,Sunday Herald,Herald Sun,publisher
46,Hà Giang Province,Hoàng Su Phì District,located in the administrative territorial entity
47,Singapore,Nepal,has part
48,Kiên Giang Province,Phú Quốc,located in the administrative territorial entity
49,Caribbean,Hạ Long Bay,located on terrain feature
50,Thailand,Trang Airport,contains administrative territorial entity
51,Atlantic Ocean,Côn Đảo,followed by
52,Vietnam,Southeast Asia,located on terrain feature
53,Nguyễn dynasty,Huế,location
54,Quan Cong,Gautama Buddha,location
55,Mekong Delta,Malaysia,location
56,Thailand,Vietnam,country
57,French colonial empire,France,part of
58,Vietnamese đồng,Atlantic Ocean,followed by
59,Nguyễn dynasty,Taoism,residence
60,Mongol Empire,Trần Hưng Đạo,military branch
61,Huế,Minh Mạng,work location
62,Vietnamese đồng,China,followed by
63,Philippines,Hạ Long Bay,located in the administrative territorial entity
64,Singapore,South Korea,part of
65,Đồng Hới,Da Nang,followed by
66,Alaska,Pacific Ocean,located on terrain feature
67,Ho Chi Minh City,Taoism,has part
68,Hải Vân Pass,Da Nang,located in the administrative territorial entity
69,Vietnam,Indonesia,has part
70,Dương Văn Minh,Nguyễn Khánh,father
71,Mũi Né,Mount Lao,located on terrain feature
72,Phong Nha-Kẻ Bàng National Park,Hang Sơn Đoòng,has part
73,Lai Châu Province,Sa Pa,contains administrative territorial entity
74,Shang dynasty,Mediterranean Sea,located in or next to body of water
75,Nguyễn dynasty,Hanoi,headquarters location
76,Japan,Hội An,crosses
77,Nguyễn dynasty,Ho Chi Minh,country of citizenship
78,Hạ Long Bay,Cát Bà Island,located on terrain feature
79,France,French Indochina,follows
80,Côn Đảo,Taoism,sibling
81,Mediterranean Sea,Mekong Delta,located in or next to body of water
82,Da Lat,French Quarter,location
83,France,Buddhism,part of
84,Shang dynasty,Champa,part of
85,Taoism,French Quarter,location
86,Thailand,Nepal,part of
87,Huế,Pagoda of the Celestial Lady,location
88,Côn Đảo,Taoism,part of
89,Nguyễn dynasty,"Ann, Myanmar",residence
90,Nha Trang,North Vietnam,country
91,Mũi Né,Phan Thiết,contains administrative territorial entity
92,Long Sơn Pagoda,Taoism,movement
93,Mekong Delta,Jayavarman II,has part
94,Da Nang,InterContinental Hotels Group,headquarters location
95,Thuận Phước Bridge,Vietnam,country
96,Mainland China,Atlantic Ocean,followed by
97,Village,Town,instance of
98,Ho Chi Minh,Hanoi,headquarters location
99,Ho Chi Minh City,Vũng Tàu,contains administrative territorial entity
100,Bình Thuận Province,Ninh Thuận Province,contains administrative territorial entity
101,Vietnam,BBC News,main subject
102,French colonial empire,French Indochina,follows
103,Ho Chi Minh City,Mekong Delta,has part
104,Côn Đảo Prison,Vietnam,country
105,Southeast Asia,South China Sea,located on terrain feature
106,Sea level,Mediterranean Sea,located in or next to body of water
107,Nui (atoll),Vietnamese đồng,part of
108,Bà Rịa,Vietnam,country
109,Nguyễn dynasty,Phạm Văn Đồng,residence
110,Da Nang,Dragon Bridge (Da Nang),location
111,Hạ Long Bay,Cát Bà Island,located in or next to body of water
112,Nguyễn dynasty,United States dollar,residence
113,Mekong Delta,Ho Chi Minh City,located in or next to body of water
114,Sa Pa,Fansipan,location
115,Hạ Long Bay,Philippines,has part
116,Hoàn Kiếm Lake,Vietnam,located on terrain feature
117,Vietnam,Middle East,country of origin
118,Karst Plateau,Dong Van Karst Plateau Geopark,instance of
119,Buddhism,Da Lat,part of
120,Hội An,Sun,located on terrain feature
121,Trang Airport,Vinh,located in the administrative territorial entity
122,Lào Cai,Vietnam,country
123,United States dollar,Côn Đảo,followed by
124,Dương Văn Minh,Ho Chi Minh Highway,crosses
125,Sơn Trà District,Vietnam,country of origin
126,Lai Châu Province,Điện Biên Province,located in the administrative territorial entity
127,Hanoi,Ho Chi Minh,headquarters location
